Name:		lavras01
Optimal value:	2243
#Vehicles:	1
Capacity:	5400
Depot Node:	540
#Nodes:		546
#Edges:		547
#Arcs:		284
#Required N:	6
#Required E:	21
#Required A:	0

ReN.	DEMAND	S. COST
N541	1	20
N542	1	20
N543	1	20
N544	1	20
N545	1	20
N546	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E11	40	41	12	1	18
E15	45	46	12	1	18
E20	51	52	12	1	18
E22	53	54	12	1	18
E25	56	57	14	1	21
E26	57	58	12	1	18
E33	66	67	22	1	33
E34	68	54	22	1	33
E38	52	71	22	1	33
E39	72	55	22	1	33
E44	44	76	15	1	23
E45	76	77	16	1	24
E47	79	80	13	1	20
E262	397	393	12	1	18
E279	394	76	12	1	18
E280	76	73	12	1	18
E282	69	419	12	1	18
E295	429	57	23	1	35
E296	57	45	23	1	35
E355	59	47	23	1	35
E392	508	74	37	1	56

EDGE	FROM N.	TO N.	T. COST
NrE1	17	18	15
NrE2	18	19	15
NrE3	19	20	28
NrE4	20	21	21
NrE5	22	17	77
NrE6	23	24	34
NrE7	34	35	23
NrE8	36	37	13
NrE9	37	38	7
NrE10	39	40	13
NrE12	42	43	12
NrE13	43	44	12
NrE14	44	45	12
NrE16	46	47	13
NrE17	47	48	13
NrE18	48	49	13
NrE19	50	51	10
NrE21	52	53	13
NrE23	54	55	13
NrE24	55	56	12
NrE27	58	59	12
NrE28	59	60	12
NrE29	60	61	14
NrE30	61	62	14
NrE31	51	63	22
NrE32	63	64	10
NrE35	42	69	14
NrE36	70	40	14
NrE37	40	52	23
NrE40	55	43	24
NrE41	43	73	15
NrE42	74	75	12
NrE43	75	56	22
NrE46	78	79	4
NrE48	80	81	12
NrE49	85	86	7
NrE50	86	87	11
NrE51	87	88	11
NrE52	88	89	12
NrE53	90	91	11
NrE54	91	92	11
NrE55	92	93	19
NrE56	94	95	21
NrE57	95	88	19
NrE58	88	96	14
NrE59	96	97	13
NrE60	102	94	12
NrE61	94	103	11
NrE62	103	104	11
NrE63	104	105	11
NrE64	106	107	8
NrE65	107	95	11
NrE66	95	108	12
NrE67	108	109	11
NrE68	109	110	6
NrE69	111	112	21
NrE70	112	113	20
NrE71	114	115	11
NrE72	115	116	11
NrE73	116	117	21
NrE74	117	111	16
NrE75	118	119	21
NrE76	119	120	20
NrE77	120	121	16
NrE78	122	123	14
NrE79	123	124	14
NrE80	124	125	18
NrE81	125	118	34
NrE82	126	127	21
NrE83	127	128	20
NrE84	128	129	15
NrE85	130	131	11
NrE86	131	132	13
NrE87	132	133	14
NrE88	133	134	20
NrE89	134	126	25
NrE90	135	136	19
NrE91	136	137	16
NrE92	138	122	2
NrE93	122	131	14
NrE94	131	114	28
NrE95	114	92	19
NrE96	92	103	18
NrE97	103	108	21
NrE98	108	89	19
NrE99	139	124	17
NrE100	124	133	14
NrE101	133	116	13
NrE102	116	90	20
NrE103	90	105	17
NrE104	105	140	14
NrE105	140	110	7
NrE106	141	142	20
NrE107	143	118	11
NrE108	118	126	11
