Name:		lavras02
Optimal value:	3432
#Vehicles:	1
Capacity:	5400
Depot Node:	551
#Nodes:		551
#Edges:		552
#Arcs:		284
#Required N:	0
#Required E:	82
#Required A:	0

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E10	39	40	8	1	12
E11	40	41	13	1	20
E12	41	42	12	1	18
E13	42	43	12	1	18
E14	43	44	12	1	18
E15	44	45	12	1	18
E16	45	46	12	1	18
E17	46	47	12	1	18
E18	47	48	13	1	20
E21	51	52	10	1	15
E22	52	53	12	1	18
E23	53	54	13	1	20
E24	54	55	12	1	18
E25	55	56	13	1	20
E26	56	57	12	1	18
E27	57	58	14	1	21
E28	58	59	12	1	18
E29	59	60	12	1	18
E33	64	65	23	1	35
E34	40	52	23	1	35
E35	52	66	22	1	33
E36	66	67	10	1	15
E37	69	70	7	1	11
E38	70	51	13	1	20
E39	70	71	22	1	33
E40	72	73	6	1	9
E41	73	55	22	1	33
E42	55	43	24	1	36
E43	43	74	14	1	21
E44	74	75	18	1	27
E45	76	41	14	1	21
E46	41	53	23	1	35
E47	53	77	22	1	33
E48	77	78	9	1	14
E49	79	56	22	1	33
E50	56	44	24	1	36
E51	44	80	15	1	23
E52	80	81	18	1	27
E53	82	83	12	1	18
E54	83	57	22	1	33
E55	57	45	23	1	35
E56	45	84	15	1	23
E57	84	85	16	1	24
E58	86	87	4	1	6
E59	87	88	13	1	20
E271	401	402	12	1	18
E274	405	401	12	1	18
E291	402	84	12	1	18
E292	84	80	12	1	18
E293	80	74	12	1	18
E294	74	427	12	1	18
E295	427	76	13	1	20
E306	87	437	17	1	26
E307	437	58	23	1	35
E308	58	46	23	1	35
E309	46	402	15	1	23
E367	402	493	14	1	21
E393	66	77	12	1	18
E394	77	514	12	1	18
E395	514	73	12	1	18
E396	73	79	13	1	20
E397	79	83	12	1	18
E398	83	437	14	1	21
E399	437	515	12	1	18
E400	515	494	12	1	18
E404	71	51	24	1	36
E405	51	65	12	1	18
E406	67	517	22	1	33
E407	517	82	37	1	56
E408	82	86	13	1	20
E409	86	518	21	1	32
E413	520	427	11	1	17
E414	427	42	14	1	21
E415	42	54	23	1	35
E416	54	514	22	1	33
E417	514	517	13	1	20
E427	515	59	24	1	36
E428	59	47	23	1	35
E429	47	401	16	1	24
E430	401	521	7	1	11
E432	88	515	18	1	27
E434	71	66	2	1	3

EDGE	FROM N.	TO N.	T. COST
NrE1	17	18	15
NrE2	18	19	15
NrE3	19	20	28
NrE4	20	21	21
NrE5	22	17	77
NrE6	23	24	34
NrE7	34	35	23
NrE8	36	37	13
NrE9	37	38	7
NrE19	48	49	13
NrE20	49	50	13
NrE30	60	61	12
NrE31	61	62	14
NrE32	62	63	14
NrE60	88	89	12
NrE61	93	94	7
NrE62	94	95	11
NrE63	95	96	11
NrE64	96	97	12
NrE65	98	99	11
NrE66	99	100	11
NrE67	100	101	19
NrE68	102	103	21
NrE69	103	96	19
NrE70	96	104	14
NrE71	104	105	13
NrE72	110	102	12
NrE73	102	111	11
NrE74	111	112	11
NrE75	112	113	11
NrE76	114	115	8
NrE77	115	103	11
NrE78	103	116	12
NrE79	116	117	11
NrE80	117	118	6
NrE81	119	120	21
NrE82	120	121	20
NrE83	122	123	11
NrE84	123	124	11
NrE85	124	125	21
NrE86	125	119	16
NrE87	126	127	21
NrE88	127	128	20
NrE89	128	129	16
NrE90	130	131	14
NrE91	131	132	14
NrE92	132	133	18
NrE93	133	126	34
NrE94	134	135	21
NrE95	135	136	20
NrE96	136	137	15
NrE97	138	139	11
NrE98	139	140	13
NrE99	140	141	14
NrE100	141	142	20
NrE101	142	134	25
NrE102	143	144	19
NrE103	144	145	16
NrE104	146	130	2
NrE105	130	139	14
NrE106	139	122	28
NrE107	122	100	19
NrE108	100	111	18
NrE109	111	116	21
NrE110	116	97	19
NrE111	147	132	17
NrE112	132	141	14
NrE113	141	124	13
NrE114	124	98	20
NrE115	98	113	17
NrE116	113	148	14
NrE117	148	118	7
NrE118	149	150	20
NrE119	151	126	11
NrE120	126	134	11
NrE121	134	119	11
NrE122	152	153	17
NrE123	153	154	20
NrE124	154	151	21
NrE125	151	155	7
NrE126	154	127	11
NrE127	127	135	11
NrE128	135	120	11
NrE129	120	149	11
NrE130	149	156	11
NrE131	164	165	18
NrE132	165	22	8
NrE133	166	167	34
NrE134	30	168	24
NrE135	172	173	17
NrE136	173	174	13
NrE137	174	175	13
NrE138	175	176	12
NrE139	179	180	17
NrE140	181	182	15
NrE141	183	181	19
NrE142	184	167	7
NrE143	167	185	13
