Name:		lavras03
Optimal value:	1915
#Vehicles:	1
Capacity:	5400
Depot Node:	231
#Nodes:		239
#Edges:		304
#Arcs:		57
#Required N:	8
#Required E:	11
#Required A:	0

ReN.	DEMAND	S. COST
N232	1	20
N233	1	20
N234	1	20
N235	1	20
N236	1	20
N237	1	20
N238	1	20
N239	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E185	160	164	35	1	53
E188	169	170	12	1	18
E191	173	174	26	1	39
E196	167	182	32	1	48
E202	194	183	32	1	48
E204	168	197	46	1	69
E214	171	202	33	1	50
E216	203	161	34	1	51
E218	172	204	11	1	17
E221	202	165	12	1	18
E260	223	200	16	1	24

EDGE	FROM N.	TO N.	T. COST
NrE1	1	2	15
NrE2	2	3	15
NrE3	3	4	28
NrE4	4	5	21
NrE5	6	7	11
NrE6	7	8	12
NrE7	10	11	13
NrE8	14	15	33
NrE9	16	17	33
NrE10	18	19	30
NrE11	22	23	33
NrE12	23	24	6
NrE13	25	26	30
NrE14	27	28	19
NrE15	28	29	30
NrE16	30	31	30
NrE17	32	33	12
NrE18	33	34	12
NrE19	34	35	12
NrE20	33	36	28
NrE21	36	37	27
NrE22	7	33	24
NrE23	36	38	12
NrE24	39	27	10
NrE25	40	24	10
NrE26	24	41	10
NrE27	41	42	10
NrE28	42	43	30
NrE29	44	15	10
NrE30	15	17	10
NrE31	17	40	3
NrE32	40	23	8
NrE33	45	28	10
NrE34	28	30	10
NrE35	30	18	11
NrE36	18	43	10
NrE37	43	25	10
NrE38	47	37	14
NrE39	37	48	13
NrE40	49	50	7
NrE41	50	51	11
NrE42	51	52	11
NrE43	52	53	12
NrE44	54	55	11
NrE45	55	56	11
NrE46	56	57	19
NrE47	58	59	21
NrE48	59	52	19
NrE49	52	60	14
NrE50	60	61	13
NrE51	62	58	12
NrE52	58	63	11
NrE53	63	64	11
NrE54	64	65	11
NrE55	66	67	8
NrE56	67	59	11
NrE57	59	68	12
NrE58	68	69	11
NrE59	69	70	6
NrE60	71	72	21
NrE61	72	73	20
NrE62	74	75	11
NrE63	75	76	11
NrE64	76	77	21
NrE65	77	71	16
NrE66	78	79	21
NrE67	79	80	20
NrE68	80	81	16
NrE69	82	83	14
NrE70	83	84	14
NrE71	84	85	18
NrE72	85	78	34
NrE73	86	87	21
NrE74	87	88	20
NrE75	88	89	15
NrE76	90	91	11
NrE77	91	92	13
NrE78	92	93	14
NrE79	93	94	20
NrE80	94	86	25
NrE81	95	96	19
NrE82	96	97	16
NrE83	98	82	2
NrE84	82	91	14
NrE85	91	74	28
NrE86	74	56	19
NrE87	56	63	18
NrE88	63	68	21
NrE89	68	53	19
NrE90	100	84	17
NrE91	84	93	14
NrE92	93	76	13
NrE93	76	54	20
NrE94	54	65	17
NrE95	65	101	14
NrE96	101	70	7
NrE97	102	103	20
NrE98	104	78	11
NrE99	78	86	11
NrE100	86	71	11
NrE101	105	106	17
NrE102	106	107	20
NrE103	107	104	21
NrE104	104	108	7
NrE105	107	79	11
NrE106	79	87	11
