Name:		lavras04
Optimal value:	2589
#Vehicles:	1
Capacity:	5400
Depot Node:	235
#Nodes:		235
#Edges:		300
#Arcs:		57
#Required N:	0
#Required E:	52
#Required A:	0

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	10	11	13	1	20
E181	13	159	17	1	26
E182	159	160	14	1	21
E183	160	161	13	1	20
E184	161	162	12	1	18
E185	159	163	37	1	56
E186	160	164	35	1	53
E187	164	165	13	1	20
E188	166	167	7	1	11
E189	167	168	26	1	39
E190	11	169	28	1	42
E191	169	170	12	1	18
E192	170	171	12	1	18
E193	162	172	11	1	17
E194	172	173	22	1	33
E195	173	174	26	1	39
E196	165	170	27	1	41
E197	175	169	21	1	32
E201	167	182	32	1	48
E202	168	182	12	1	18
E203	182	183	11	1	17
E204	183	184	12	1	18
E208	195	183	32	1	48
E209	174	196	40	1	60
E210	196	197	21	1	32
E211	168	198	46	1	69
E212	182	199	52	1	78
E213	171	196	12	1	18
E214	196	200	12	1	18
E215	197	201	11	1	17
E219	13	9	17	1	26
E220	9	12	12	1	18
E221	12	157	9	1	14
E222	171	203	33	1	50
E223	203	204	20	1	30
E224	204	161	34	1	51
E225	205	166	24	1	36
E226	172	205	11	1	17
E227	168	174	12	1	18
E228	174	203	11	1	17
E229	203	165	12	1	18
E230	165	175	12	1	18
E231	175	155	10	1	15
E232	209	210	8	1	12
E233	184	210	9	1	14
E234	210	211	12	1	18
E235	166	173	12	1	18
E236	173	204	12	1	18
E237	204	164	12	1	18
E238	164	163	12	1	18
E239	163	156	10	1	15
E271	227	201	16	1	24

EDGE	FROM N.	TO N.	T. COST
NrE1	1	2	15
NrE2	2	3	15
NrE3	3	4	28
NrE4	4	5	21
NrE5	6	7	11
NrE6	7	8	12
NrE8	14	15	33
NrE9	16	17	33
NrE10	18	19	30
NrE11	22	23	33
NrE12	23	24	6
NrE13	25	26	30
NrE14	27	28	19
NrE15	28	29	30
NrE16	30	31	30
NrE17	32	33	12
NrE18	33	34	12
NrE19	34	35	12
NrE20	33	36	28
NrE21	36	37	27
NrE22	7	33	24
NrE23	36	38	12
NrE24	39	27	10
NrE25	40	24	10
NrE26	24	41	10
NrE27	41	42	10
NrE28	42	43	30
NrE29	44	15	10
NrE30	15	17	10
NrE31	17	40	3
NrE32	40	23	8
NrE33	45	28	10
NrE34	28	30	10
NrE35	30	18	11
NrE36	18	43	10
NrE37	43	25	10
NrE38	47	37	14
NrE39	37	48	13
NrE40	49	50	7
NrE41	50	51	11
NrE42	51	52	11
NrE43	52	53	12
NrE44	54	55	11
NrE45	55	56	11
NrE46	56	57	19
NrE47	58	59	21
NrE48	59	52	19
NrE49	52	60	14
NrE50	60	61	13
NrE51	62	58	12
NrE52	58	63	11
NrE53	63	64	11
NrE54	64	65	11
NrE55	66	67	8
NrE56	67	59	11
NrE57	59	68	12
NrE58	68	69	11
NrE59	69	70	6
NrE60	71	72	21
NrE61	72	73	20
NrE62	74	75	11
NrE63	75	76	11
NrE64	76	77	21
NrE65	77	71	16
NrE66	78	79	21
NrE67	79	80	20
NrE68	80	81	16
NrE69	82	83	14
NrE70	83	84	14
NrE71	84	85	18
NrE72	85	78	34
NrE73	86	87	21
NrE74	87	88	20
NrE75	88	89	15
NrE76	90	91	11
NrE77	91	92	13
