Name:		lavras05
Optimal value:	4970
#Vehicles:	2
Capacity:	5400
Depot Node:	758
#Nodes:		797
#Edges:		863
#Arcs:		319
#Required N:	39
#Required E:	57
#Required A:	0

ReN.	DEMAND	S. COST
N759	1	20
N760	1	20
N761	1	20
N762	1	20
N763	1	20
N764	1	20
N765	1	20
N766	1	20
N767	1	20
N768	1	20
N769	1	20
N770	1	20
N771	1	20
N772	1	20
N773	1	20
N774	1	20
N775	1	20
N776	1	20
N777	1	20
N778	1	20
N779	1	20
N780	1	20
N781	1	20
N782	1	20
N783	1	20
N784	1	20
N785	1	20
N786	1	20
N787	1	20
N788	1	20
N789	1	20
N790	1	20
N791	1	20
N792	1	20
N793	1	20
N794	1	20
N795	1	20
N796	1	20
N797	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E153	226	227	20	1	30
E159	233	234	51	1	77
E161	236	237	31	1	47
E165	241	242	19	1	29
E173	226	241	12	1	18
E174	241	256	12	1	18
E197	274	265	40	1	60
E198	265	233	35	1	53
E209	293	294	18	1	27
E218	303	304	18	1	27
E222	308	309	15	1	23
E223	310	308	18	1	27
E224	308	311	19	1	29
E231	316	317	21	1	32
E232	318	319	31	1	47
E234	321	292	16	1	24
E238	327	328	9	1	14
E239	329	327	8	1	12
E241	305	333	42	1	63
E248	303	341	26	1	39
E250	313	345	17	1	26
E256	352	353	17	1	26
E268	368	369	18	1	27
E317	374	416	35	1	53
E339	394	428	17	1	26
E362	299	457	14	1	21
E372	465	376	35	1	53
E381	463	472	13	1	20
E383	473	472	10	1	15
E386	476	477	10	1	15
E387	477	478	10	1	15
E390	479	384	12	1	18
E392	382	480	21	1	32
E398	482	474	18	1	27
E400	380	477	17	1	26
E415	400	492	28	1	42
E420	264	356	26	1	39
E490	601	602	25	1	38
E526	306	422	50	1	75
E531	357	624	16	1	24
E532	404	288	16	1	24
E533	288	367	16	1	24
E542	617	263	24	1	36
E543	263	636	21	1	32
E547	247	618	12	1	18
E554	579	646	11	1	17
E557	401	648	23	1	35
E570	674	621	30	1	45
E571	470	673	44	1	66
E574	469	675	44	1	66
E662	449	717	12	1	18
E663	116	607	19	1	29
E670	289	403	18	1	27
E671	347	295	16	1	24
E673	637	599	15	1	23
E741	416	648	12	1	18
E783	471	669	34	1	51

EDGE	FROM N.	TO N.	T. COST
NrE1	18	19	15
NrE2	19	20	15
NrE3	20	21	28
NrE4	21	22	21
NrE5	23	24	34
NrE6	34	35	7
NrE7	35	36	11
NrE8	36	37	11
NrE9	37	38	12
NrE10	39	40	11
NrE11	40	41	11
NrE12	41	42	19
NrE13	43	44	21
NrE14	44	37	19
NrE15	37	45	14
NrE16	45	46	13
NrE17	51	43	12
NrE18	43	52	11
NrE19	52	53	11
NrE20	53	54	11
NrE21	55	56	8
NrE22	56	44	11
NrE23	44	57	12
NrE24	57	58	11
NrE25	58	59	6
NrE26	60	61	21
NrE27	61	62	20
NrE28	63	64	11
NrE29	64	65	11
NrE30	65	66	21
NrE31	66	60	16
NrE32	67	68	21
NrE33	68	69	20
NrE34	69	70	16
NrE35	71	72	14
NrE36	72	73	14
NrE37	73	74	18
NrE38	74	67	34
NrE39	75	76	21
NrE40	76	77	20
NrE41	77	78	15
NrE42	79	80	11
NrE43	80	81	13
NrE44	81	82	14
NrE45	82	83	20
NrE46	83	75	25
NrE47	84	85	19
NrE48	85	86	16
NrE49	87	71	2
NrE50	71	80	14
NrE51	80	63	28
NrE52	63	41	19
NrE53	41	52	18
NrE54	52	57	21
NrE55	57	38	19
NrE56	88	73	17
NrE57	73	82	14
NrE58	82	65	13
NrE59	65	39	20
NrE60	39	54	17
NrE61	54	89	14
NrE62	89	59	7
NrE63	90	91	20
NrE64	92	67	11
NrE65	67	75	11
NrE66	75	60	11
NrE67	93	94	17
NrE68	94	95	20
NrE69	95	92	21
NrE70	92	96	7
NrE71	95	68	11
NrE72	68	76	11
NrE73	76	61	11
NrE74	61	90	11
NrE75	90	97	11
NrE76	30	101	24
