Name:		lavras09
Optimal value:	9085
#Vehicles:	3
Capacity:	5400
Depot Node:	878
#Nodes:		906
#Edges:		875
#Arcs:		447
#Required N:	36
#Required E:	88
#Required A:	48

ReN.	DEMAND	S. COST
N131	1	20
N342	1	20
N358	1	20
N657	1	20
N686	1	20
N705	1	20
N710	1	20
N715	1	20
N879	1	20
N880	1	20
N881	1	20
N882	1	20
N883	1	20
N884	1	20
N885	1	20
N886	1	20
N887	1	20
N888	1	20
N889	1	20
N890	1	20
N891	1	20
N892	1	20
N893	1	20
N894	1	20
N895	1	20
N896	1	20
N897	1	20
N898	1	20
N899	1	20
N900	1	20
N901	1	20
N902	1	20
N903	1	20
N904	1	20
N905	1	20
N906	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	13	14	11	1	17
E11	17	18	11	1	17
E13	20	12	20	1	30
E15	17	21	21	1	32
E17	23	24	20	1	30
E19	16	26	21	1	32
E38	59	60	16	1	24
E53	77	64	37	1	56
E58	79	80	8	1	12
E60	81	82	18	1	27
E62	78	61	23	1	35
E67	90	91	8	1	12
E68	92	93	17	1	26
E75	103	104	21	1	32
E76	107	108	21	1	32
E88	107	101	12	1	18
E89	101	112	11	1	17
E101	109	127	13	1	20
E237	265	266	20	1	30
E239	222	267	17	1	26
E253	280	288	12	1	18
E300	365	366	16	1	24
E301	366	367	18	1	27
E303	367	383	10	1	15
E304	383	384	19	1	29
E305	385	386	26	1	39
E306	386	387	40	1	60
E307	388	389	12	1	18
E308	389	384	6	1	9
E314	395	385	21	1	32
E341	489	490	41	1	62
E421	561	562	9	1	14
E442	582	583	31	1	47
E444	584	585	46	1	69
E449	587	588	31	1	47
E452	583	575	14	1	21
E457	469	383	17	1	26
E485	279	267	13	1	20
E487	626	627	25	1	38
E527	29	25	7	1	11
E528	25	20	11	1	17
E531	30	26	7	1	11
E537	1	288	33	1	50
E539	89	668	9	1	14
E544	679	680	26	1	39
E545	578	679	16	1	24
E547	681	682	12	1	18
E549	683	684	12	1	18
E553	688	685	42	1	63
E554	685	689	28	1	42
E558	695	682	37	1	56
E567	582	574	12	1	18
E578	716	706	21	1	32
E585	589	713	33	1	50
E600	689	692	12	1	18
E610	113	123	5	1	8
E612	93	111	11	1	17
E620	13	18	20	1	30
E634	83	747	34	1	51
E636	748	80	16	1	24
E637	80	747	11	1	17
E641	81	71	11	1	17
E677	656	14	19	1	29
E679	19	619	21	1	32
E694	627	778	15	1	23
E726	683	741	28	1	42
E729	475	791	21	1	32
E731	793	794	33	1	50
E734	793	795	11	1	17
E735	791	795	31	1	47
E736	795	433	20	1	30
