Name:		lavras11
Optimal value:	10182
#Vehicles:	3
Capacity:	5400
Depot Node:	1280
#Nodes:		1314
#Edges:		1454
#Arcs:		477
#Required N:	40
#Required E:	101
#Required A:	16

ReN.	DEMAND	S. COST
N57	1	20
N750	1	20
N756	1	20
N931	1	20
N967	1	20
N1164	1	20
N1281	1	20
N1282	1	20
N1283	1	20
N1284	1	20
N1285	1	20
N1286	1	20
N1287	1	20
N1288	1	20
N1289	1	20
N1290	1	20
N1291	1	20
N1292	1	20
N1293	1	20
N1294	1	20
N1295	1	20
N1296	1	20
N1297	1	20
N1298	1	20
N1299	1	20
N1300	1	20
N1301	1	20
N1302	1	20
N1303	1	20
N1304	1	20
N1305	1	20
N1306	1	20
N1307	1	20
N1308	1	20
N1309	1	20
N1310	1	20
N1311	1	20
N1312	1	20
N1313	1	20
N1314	1	20

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E15	38	39	13	1	20
E17	42	43	19	1	29
E19	25	46	21	1	32
E21	49	50	21	1	32
E31	66	45	10	1	15
E101	144	134	31	1	47
E102	134	133	3	1	5
E103	133	145	13	1	20
E203	252	253	17	1	26
E218	253	263	12	1	18
E228	274	275	8	1	12
E389	543	544	15	1	23
E463	616	543	20	1	30
E464	544	617	12	1	18
E467	264	618	10	1	15
E507	659	660	15	1	23
E508	661	662	32	1	48
E509	663	596	30	1	45
E512	665	666	10	1	15
E514	667	664	10	1	15
E515	667	668	25	1	38
E516	668	669	30	1	45
E522	669	671	9	1	14
E524	673	674	23	1	35
E529	679	680	9	1	14
E537	688	683	15	1	23
E538	683	678	12	1	18
E539	691	681	36	1	54
E540	692	686	20	1	30
E542	687	693	9	1	14
E543	569	694	16	1	24
E548	698	699	14	1	21
E551	696	698	10	1	15
E562	566	710	27	1	41
E567	700	705	16	1	24
E570	709	714	9	1	14
E571	714	715	10	1	15
E572	715	716	9	1	14
E573	716	717	4	1	6
E581	711	714	10	1	15
E582	714	719	20	1	30
E584	712	715	10	1	15
E586	724	725	10	1	15
E588	716	727	9	1	14
E590	721	726	22	1	33
E597	734	735	16	1	24
E599	732	730	10	1	15
E608	742	743	10	1	15
E610	744	745	10	1	15
E613	747	748	10	1	15
E617	753	741	14	1	21
E622	760	743	47	1	71
E624	762	763	48	1	72
E627	767	768	38	1	57
E628	757	769	13	1	20
E629	767	755	9	1	14
E630	63	770	10	1	15
E649	255	249	10	1	15
E653	788	791	18	1	27
E659	796	797	17	1	26
E732	916	917	20	1	30
E765	258	790	6	1	9
E766	790	251	13	1	20
E785	281	302	21	1	32
